datetime,open,high,low,close,volume
2026-01-01T09:00:00,95.0,100.0,90.0,95.0,1000
2026-01-01T09:05:00,96.0,101.0,91.0,96.0,1000
2026-01-01T09:10:00,105.0,110.0,99.0,105.0,1000
2026-01-01T09:15:00,97.0,102.0,92.0,97.0,1000
2026-01-01T09:20:00,98.0,103.0,93.0,98.0,1000
2026-01-01T09:25:00,98.0,112.0,97.0,111.0,1000
2026-01-01T09:30:00,116.0,117.0,111.0,113.0,1000
2026-01-01T09:35:00,113.0,121.0,113.0,120.0,1000
2026-01-01T09:40:00,110.0,111.0,108.0,109.5,1000
2026-01-01T09:45:00,115.0,121.0,114.0,120.0,1000
2026-01-01T09:50:00,116.0,122.0,114.0,121.0,1000
